cadena,bandera,provincia,lat,lon,id_comercio,id_sucursal
Carrefour,Hipermercado Carrefour,AR-B,-34.720448,-58.462849,10,458
Carrefour,Hipermercado Carrefour,AR-B,-34.720261,-58.254951,10,454
Carrefour,Hipermercado Carrefour,AR-B,-34.715469,-58.298862,10,227
Carrefour,Hipermercado Carrefour,AR-B,-34.710793,-58.422569,10,456
Carrefour,Hipermercado Carrefour,AR-B,-34.707005,-58.438946,10,422
Carrefour,Hipermercado Carrefour,AR-B,-34.706482,-58.389854,10,466
Carrefour,Hipermercado Carrefour,AR-B,-34.704433,-58.582954,10,468
Carrefour,Hipermercado Carrefour,AR-B,-34.704182,-58.316933,10,465
Carrefour,Hipermercado Carrefour,AR-B,-34.703560,-58.743389,10,474
Carrefour,Hipermercado Carrefour,AR-B,-34.697533,-58.625614,10,483
Carrefour,Hipermercado Carrefour,AR-B,-34.697533,-58.601257,10,499
Carrefour,Hipermercado Carrefour,AR-B,-34.697529,-58.302113,10,443
Carrefour,Hipermercado Carrefour,AR-B,-34.697472,-58.507263,10,481
Carrefour,Hipermercado Carrefour,AR-B,-34.696831,-58.535934,10,480
Carrefour,Hipermercado Carrefour,AR-B,-34.691936,-58.482498,10,476
Carrefour,Hipermercado Carrefour,AR-B,-34.690746,-58.408459,10,447
Carrefour,Hipermercado Carrefour,AR-B,-34.690048,-58.689140,10,479
Carrefour,Hipermercado Carrefour,AR-B,-34.684696,-58.386612,10,455
Carrefour,Hipermercado Carrefour,AR-B,-34.679310,-58.727993,10,42
Carrefour,Hipermercado Carrefour,AR-B,-34.676216,-58.563545,10,522
Carrefour,Hipermercado Carrefour,AR-B,-34.673515,-58.406288,10,463
Carrefour,Hipermercado Carrefour,AR-B,-34.665985,-58.699257,10,485
Carrefour,Hipermercado Carrefour,AR-B,-34.665318,-58.662586,10,294
Carrefour,Hipermercado Carrefour,AR-B,-34.665272,-58.728111,10,497
Carrefour,Hipermercado Carrefour,AR-B,-34.664627,-58.597355,10,12
Carrefour,Hipermercado Carrefour,AR-B,-34.661465,-58.368214,10,101
Carrefour,Hipermercado Carrefour,AR-B,-34.659389,-58.562080,10,475
Carrefour,Hipermercado Carrefour,AR-B,-34.657318,-58.762947,10,484
Carrefour,Hipermercado Carrefour,AR-B,-34.657249,-58.710552,10,482
Carrefour,Hipermercado Carrefour,AR-B,-34.651085,-58.642883,10,439
Carrefour,Hipermercado Carrefour,AR-B,-34.648762,-58.618427,10,473
Carrefour,Hipermercado Carrefour,AR-B,-34.648018,-58.620216,10,442
Carrefour,Hipermercado Carrefour,AR-B,-34.647755,-58.688217,10,36
Carrefour,Hipermercado Carrefour,AR-B,-34.647419,-58.794224,10,854
Carrefour,Hipermercado Carrefour,AR-B,-34.645016,-58.590603,10,427
Carrefour,Hipermercado Carrefour,AR-B,-34.633335,-58.764282,10,21
Carrefour,Hipermercado Carrefour,AR-B,-34.620609,-58.633770,10,10
Carrefour,Hipermercado Carrefour,AR-B,-34.611076,-58.941292,10,297
Carrefour,Hipermercado Carrefour,AR-B,-34.608189,-58.953571,10,524
Carrefour,Hipermercado Carrefour,AR-B,-34.605633,-58.564880,10,521
Carrefour,Hipermercado Carrefour,AR-B,-34.605396,-58.595001,10,478
Carrefour,Hipermercado Carrefour,AR-B,-34.603432,-58.592464,10,205
Carrefour,Hipermercado Carrefour,AR-B,-34.602303,-58.561932,10,637
Carrefour,Hipermercado Carrefour,AR-B,-34.591972,-58.636448,10,218
Carrefour,Hipermercado Carrefour,AR-B,-34.589828,-58.751511,10,703
Carrefour,Hipermercado Carrefour,AR-B,-34.589619,-58.632801,10,472
Carrefour,Hipermercado Carrefour,AR-B,-34.588562,-58.573822,10,470
Carrefour,Hipermercado Carrefour,AR-B,-34.587242,-58.593697,10,47
Carrefour,Hipermercado Carrefour,AR-B,-34.586323,-58.519447,10,15
Carrefour,Hipermercado Carrefour,AR-B,-34.575874,-58.538738,10,430
Carrefour,Hipermercado Carrefour,AR-B,-34.575504,-58.535854,10,669
Carrefour,Hipermercado Carrefour,AR-B,-34.565685,-59.119411,10,424
Carrefour,Hipermercado Carrefour,AR-B,-34.564342,-58.658085,10,508
Carrefour,Hipermercado Carrefour,AR-B,-34.562260,-58.600613,10,709
Carrefour,Hipermercado Carrefour,AR-B,-34.561649,-59.103745,10,241
Carrefour,Hipermercado Carrefour,AR-B,-34.557289,-58.550438,10,212
Carrefour,Hipermercado Carrefour,AR-B,-34.553104,-58.698257,10,217
Carrefour,Hipermercado Carrefour,AR-B,-34.552189,-58.558483,10,802
Carrefour,Hipermercado Carrefour,AR-B,-34.550587,-58.554485,10,429
Carrefour,Hipermercado Carrefour,AR-B,-34.547489,-58.551392,10,787
Carrefour,Hipermercado Carrefour,AR-B,-34.544189,-58.714901,10,469
Carrefour,Hipermercado Carrefour,AR-B,-34.541508,-58.713799,10,755
Carrefour,Hipermercado Carrefour,AR-B,-34.541199,-58.563095,10,203
Carrefour,Hipermercado Carrefour,AR-B,-34.533348,-58.478954,10,831
Carrefour,Hipermercado Carrefour,AR-B,-34.532303,-58.468178,10,2
Carrefour,Hipermercado Carrefour,AR-B,-34.531044,-58.575409,10,425
Carrefour,Hipermercado Carrefour,AR-B,-34.530697,-58.524437,10,441
Carrefour,Hipermercado Carrefour,AR-B,-34.530212,-58.497295,10,830
Carrefour,Hipermercado Carrefour,AR-B,-34.529453,-58.480778,10,216
Carrefour,Hipermercado Carrefour,AR-B,-34.529037,-58.773514,10,705
Carrefour,Hipermercado Carrefour,AR-B,-34.528885,-58.701630,10,11
Carrefour,Hipermercado Carrefour,AR-B,-34.527630,-58.535824,10,201
Carrefour,Hipermercado Carrefour,AR-B,-34.525715,-58.548664,10,436
Carrefour,Hipermercado Carrefour,AR-B,-34.517372,-58.569580,10,278
Carrefour,Hipermercado Carrefour,AR-B,-34.516304,-58.494553,10,204
Carrefour,Hipermercado Carrefour,AR-B,-34.504536,-58.493843,10,253
Carrefour,Hipermercado Carrefour,AR-B,-34.502411,-58.668449,10,428
Carrefour,Hipermercado Carrefour,AR-B,-34.500301,-58.694885,10,438
Carrefour,Hipermercado Carrefour,AR-B,-34.495403,-58.545723,10,254
Carrefour,Hipermercado Carrefour,AR-B,-34.492687,-58.499191,10,226
Carrefour,Hipermercado Carrefour,AR-B,-34.491604,-58.627670,10,234
Carrefour,Hipermercado Carrefour,AR-B,-34.491344,-58.589024,10,1
Carrefour,Hipermercado Carrefour,AR-B,-34.490707,-58.843136,10,638
Carrefour,Hipermercado Carrefour,AR-B,-34.490269,-58.484962,10,209
Carrefour,Hipermercado Carrefour,AR-B,-34.487198,-58.505871,10,211
Carrefour,Hipermercado Carrefour,AR-B,-34.485222,-58.726521,10,494
Carrefour,Hipermercado Carrefour,AR-B,-34.480984,-58.553074,10,202
Carrefour,Hipermercado Carrefour,AR-B,-34.476585,-58.497757,10,252
Carrefour,Hipermercado Carrefour,AR-B,-34.470352,-58.514687,10,516
Carrefour,Hipermercado Carrefour,AR-B,-34.461342,-58.629234,10,239
Carrefour,Hipermercado Carrefour,AR-B,-34.461334,-58.527172,10,437
Carrefour,Hipermercado Carrefour,AR-B,-34.456692,-58.725334,10,708
Carrefour,Hipermercado Carrefour,AR-B,-34.454933,-58.894409,10,28
Carrefour,Hipermercado Carrefour,AR-B,-34.454773,-58.910152,10,512
Carrefour,Hipermercado Carrefour,AR-B,-34.453587,-58.575527,10,25
Carrefour,Hipermercado Carrefour,AR-B,-34.453472,-58.538349,10,431
Carrefour,Hipermercado Carrefour,AR-B,-34.449814,-58.916321,10,62
Carrefour,Hipermercado Carrefour,AR-B,-34.449448,-58.797047,10,433
Carrefour,Hipermercado Carrefour,AR-B,-34.441795,-58.553738,10,272
Carrefour,Hipermercado Carrefour,AR-B,-34.432953,-58.565605,10,221
Carrefour,Hipermercado Carrefour,AR-B,-34.424942,-58.577980,10,440
Carrefour,Hipermercado Carrefour,AR-B,-34.408966,-58.771633,10,435
Carrefour,Hipermercado Carrefour,AR-B,-34.406162,-58.619972,10,51
Carrefour,Hipermercado Carrefour,AR-B,-34.395832,-58.844734,10,505
Carrefour,Hipermercado Carrefour,AR-B,-34.395348,-58.738834,10,183
Carrefour,Hipermercado Carrefour,AR-B,-34.186539,-58.945419,10,232
Carrefour,Hipermercado Carrefour,AR-B,-34.162739,-58.965511,10,208
Carrefour,Hipermercado Carrefour,AR-B,-34.113274,-59.020313,10,210
Carrefour,Hipermercado Carrefour,AR-B,-33.902824,-60.569218,10,255
Carrefour,Hipermercado Carrefour,AR-B,-33.900993,-60.551754,10,229
Carrefour,Hipermercado Carrefour,AR-B,-33.335960,-60.222473,10,256
Carrefour,Hipermercado Carrefour,AR-B,-33.331818,-60.220188,10,156
Carrefour,Hipermercado Carrefour,AR-C,-43.258514,-65.329193,10,45
Carrefour,Hipermercado Carrefour,AR-C,-35.037369,-58.758240,10,71
Carrefour,Hipermercado Carrefour,AR-C,-34.999977,-58.397285,10,503
Carrefour,Hipermercado Carrefour,AR-C,-34.919834,-59.988270,10,72
Carrefour,Hipermercado Carrefour,AR-C,-34.822170,-58.366917,10,702
Carrefour,Hipermercado Carrefour,AR-C,-34.763279,-58.364639,10,40
Carrefour,Hipermercado Carrefour,AR-C,-34.754616,-58.612942,10,701
Carrefour,Hipermercado Carrefour,AR-C,-34.689442,-58.479591,10,672
Carrefour,Hipermercado Carrefour,AR-C,-34.685120,-58.474575,10,554
Carrefour,Hipermercado Carrefour,AR-C,-34.677982,-58.474262,10,535
Carrefour,Hipermercado Carrefour,AR-C,-34.675976,-58.477051,10,614
Carrefour,Hipermercado Carrefour,AR-C,-34.667068,-58.472973,10,423
Carrefour,Hipermercado Carrefour,AR-C,-34.663864,-58.514126,10,30
Carrefour,Hipermercado Carrefour,AR-C,-34.659229,-58.512962,10,605
Carrefour,Hipermercado Carrefour,AR-C,-34.657112,-58.518181,10,657
Carrefour,Hipermercado Carrefour,AR-C,-34.653950,-58.518970,10,680
Carrefour,Hipermercado Carrefour,AR-C,-34.653233,-58.507256,10,534
Carrefour,Hipermercado Carrefour,AR-C,-34.652802,-58.416088,10,774
Carrefour,Hipermercado Carrefour,AR-C,-34.651978,-58.515854,10,649
Carrefour,Hipermercado Carrefour,AR-C,-34.650917,-58.525742,10,625
Carrefour,Hipermercado Carrefour,AR-C,-34.650719,-58.490753,10,667
Carrefour,Hipermercado Carrefour,AR-C,-34.649025,-58.499531,10,742
Carrefour,Hipermercado Carrefour,AR-C,-34.648144,-58.415871,10,416
Carrefour,Hipermercado Carrefour,AR-C,-34.647472,-58.519848,10,733
Carrefour,Hipermercado Carrefour,AR-C,-34.646530,-58.372726,10,866
Carrefour,Hipermercado Carrefour,AR-C,-34.644703,-58.464687,10,411
Carrefour,Hipermercado Carrefour,AR-C,-34.643055,-58.454334,10,815
Carrefour,Hipermercado Carrefour,AR-C,-34.643005,-58.439194,10,812
Carrefour,Hipermercado Carrefour,AR-C,-34.641983,-58.514267,10,658
Carrefour,Hipermercado Carrefour,AR-C,-34.641224,-58.521053,10,726
Carrefour,Hipermercado Carrefour,AR-C,-34.641071,-58.526237,10,727
Carrefour,Hipermercado Carrefour,AR-C,-34.640942,-58.479164,10,600
Carrefour,Hipermercado Carrefour,AR-C,-34.639900,-58.523586,10,595
Carrefour,Hipermercado Carrefour,AR-C,-34.639450,-58.458542,10,740
Carrefour,Hipermercado Carrefour,AR-C,-34.639339,-58.374390,10,491
Carrefour,Hipermercado Carrefour,AR-C,-34.639023,-58.504955,10,626
Carrefour,Hipermercado Carrefour,AR-C,-34.638634,-58.415077,10,412
Carrefour,Hipermercado Carrefour,AR-C,-34.638409,-58.373367,10,346
Carrefour,Hipermercado Carrefour,AR-C,-34.638023,-58.527607,10,553
Carrefour,Hipermercado Carrefour,AR-C,-34.637115,-58.496796,10,398
Carrefour,Hipermercado Carrefour,AR-C,-34.636909,-58.499466,10,688
Carrefour,Hipermercado Carrefour,AR-C,-34.636787,-58.403168,10,369
Carrefour,Hipermercado Carrefour,AR-C,-34.636459,-58.359428,10,419
Carrefour,Hipermercado Carrefour,AR-C,-34.635326,-58.396301,10,489
Carrefour,Hipermercado Carrefour,AR-C,-34.635113,-58.405781,10,487
Carrefour,Hipermercado Carrefour,AR-C,-34.634335,-58.435799,10,572
Carrefour,Hipermercado Carrefour,AR-C,-34.633705,-58.482029,10,200
Carrefour,Hipermercado Carrefour,AR-C,-34.633499,-58.370106,10,557
Carrefour,Hipermercado Carrefour,AR-C,-34.633236,-58.521965,10,5
Carrefour,Hipermercado Carrefour,AR-C,-34.633156,-58.459408,10,725
Carrefour,Hipermercado Carrefour,AR-C,-34.632221,-58.375999,10,323
Carrefour,Hipermercado Carrefour,AR-C,-34.632214,-58.491184,10,673
Carrefour,Hipermercado Carrefour,AR-C,-34.631996,-58.361301,10,579
Carrefour,Hipermercado Carrefour,AR-C,-34.631451,-58.485336,10,542
Carrefour,Hipermercado Carrefour,AR-C,-34.631046,-58.452606,10,324
Carrefour,Hipermercado Carrefour,AR-C,-34.630650,-58.406590,10,796
Carrefour,Hipermercado Carrefour,AR-C,-34.630138,-58.462242,10,316
Carrefour,Hipermercado Carrefour,AR-C,-34.630074,-58.455540,10,779
Carrefour,Hipermercado Carrefour,AR-C,-34.629845,-58.399654,10,594
Carrefour,Hipermercado Carrefour,AR-C,-34.629513,-58.465073,10,236
Carrefour,Hipermercado Carrefour,AR-C,-34.629169,-58.442436,10,362
Carrefour,Hipermercado Carrefour,AR-C,-34.628754,-58.461082,10,6002
Carrefour,Hipermercado Carrefour,AR-C,-34.628635,-58.366310,10,695
Carrefour,Hipermercado Carrefour,AR-C,-34.628548,-58.466675,10,719
Carrefour,Hipermercado Carrefour,AR-C,-34.628517,-58.452099,10,693
Carrefour,Hipermercado Carrefour,AR-C,-34.628319,-58.524048,10,678
Carrefour,Hipermercado Carrefour,AR-C,-34.627914,-58.433365,10,575
Carrefour,Hipermercado Carrefour,AR-C,-34.627789,-58.360294,10,697
Carrefour,Hipermercado Carrefour,AR-C,-34.627422,-58.458172,10,115
Carrefour,Hipermercado Carrefour,AR-C,-34.627247,-58.382999,10,406
Carrefour,Hipermercado Carrefour,AR-C,-34.626759,-58.426136,10,415
Carrefour,Hipermercado Carrefour,AR-C,-34.625469,-58.429932,10,639
Carrefour,Hipermercado Carrefour,AR-C,-34.624943,-58.412617,10,509
Carrefour,Hipermercado Carrefour,AR-C,-34.624687,-58.451248,10,530
Carrefour,Hipermercado Carrefour,AR-C,-34.624493,-58.464622,10,417
Carrefour,Hipermercado Carrefour,AR-C,-34.624100,-58.371155,10,570
Carrefour,Hipermercado Carrefour,AR-C,-34.623821,-58.427299,10,691
Carrefour,Hipermercado Carrefour,AR-C,-34.623596,-58.449249,10,390
Carrefour,Hipermercado Carrefour,AR-C,-34.623512,-58.455101,10,840
Carrefour,Hipermercado Carrefour,AR-C,-34.622738,-58.433151,10,370
Carrefour,Hipermercado Carrefour,AR-C,-34.622723,-58.496399,10,643
Carrefour,Hipermercado Carrefour,AR-C,-34.622700,-58.409199,10,734
Carrefour,Hipermercado Carrefour,AR-C,-34.622604,-58.391342,10,593
Carrefour,Hipermercado Carrefour,AR-C,-34.622540,-58.465382,10,864
Carrefour,Hipermercado Carrefour,AR-C,-34.622467,-58.385616,10,486
Carrefour,Hipermercado Carrefour,AR-C,-34.621922,-58.373711,10,207
Carrefour,Hipermercado Carrefour,AR-C,-34.621666,-58.441093,10,400
Carrefour,Hipermercado Carrefour,AR-C,-34.621349,-58.418892,10,792
Carrefour,Hipermercado Carrefour,AR-C,-34.621334,-58.368477,10,627
Carrefour,Hipermercado Carrefour,AR-C,-34.621315,-58.436260,10,298
Carrefour,Hipermercado Carrefour,AR-C,-34.620880,-58.475216,10,409
Carrefour,Hipermercado Carrefour,AR-C,-34.620293,-58.392204,10,418
Carrefour,Hipermercado Carrefour,AR-C,-34.620277,-58.506577,10,326
Carrefour,Hipermercado Carrefour,AR-C,-34.620216,-58.441631,10,587
Carrefour,Hipermercado Carrefour,AR-C,-34.619774,-58.428123,10,247
Carrefour,Hipermercado Carrefour,AR-C,-34.619057,-58.381496,10,585
Carrefour,Hipermercado Carrefour,AR-C,-34.619003,-58.403896,10,689
Carrefour,Hipermercado Carrefour,AR-C,-34.618744,-58.374321,10,408
Carrefour,Hipermercado Carrefour,AR-C,-34.618328,-58.429695,10,533
Carrefour,Hipermercado Carrefour,AR-C,-34.618282,-58.395237,10,174
Carrefour,Hipermercado Carrefour,AR-C,-34.618095,-58.392208,10,363
Carrefour,Hipermercado Carrefour,AR-C,-34.617882,-58.387829,10,257
Carrefour,Hipermercado Carrefour,AR-C,-34.617798,-58.422218,10,413
Carrefour,Hipermercado Carrefour,AR-C,-34.617775,-58.438366,10,670
Carrefour,Hipermercado Carrefour,AR-C,-34.617397,-58.378826,10,744
Carrefour,Hipermercado Carrefour,AR-C,-34.617214,-58.445240,10,621
Carrefour,Hipermercado Carrefour,AR-C,-34.616322,-58.458183,10,539
Carrefour,Hipermercado Carrefour,AR-C,-34.616268,-58.431839,10,615
Carrefour,Hipermercado Carrefour,AR-C,-34.616165,-58.376095,10,676
Carrefour,Hipermercado Carrefour,AR-C,-34.616074,-58.464287,10,622
Carrefour,Hipermercado Carrefour,AR-C,-34.615700,-58.438274,10,692
Carrefour,Hipermercado Carrefour,AR-C,-34.615547,-58.387978,10,684
Carrefour,Hipermercado Carrefour,AR-C,-34.615543,-58.415062,10,421
Carrefour,Hipermercado Carrefour,AR-C,-34.615452,-58.475327,10,698
Carrefour,Hipermercado Carrefour,AR-C,-34.615032,-58.409058,10,662
Carrefour,Hipermercado Carrefour,AR-C,-34.615013,-58.526424,10,826
Carrefour,Hipermercado Carrefour,AR-C,-34.614788,-58.505672,10,314
Carrefour,Hipermercado Carrefour,AR-C,-34.614357,-58.429970,10,616
Carrefour,Hipermercado Carrefour,AR-C,-34.614162,-58.396893,10,729
Carrefour,Hipermercado Carrefour,AR-C,-34.613682,-58.388252,10,488
Carrefour,Hipermercado Carrefour,AR-C,-34.613625,-58.374702,10,589
Carrefour,Hipermercado Carrefour,AR-C,-34.613365,-58.493679,10,376
Carrefour,Hipermercado Carrefour,AR-C,-34.613220,-58.382774,10,386
Carrefour,Hipermercado Carrefour,AR-C,-34.613201,-58.523415,10,515
Carrefour,Hipermercado Carrefour,AR-C,-34.612881,-58.393291,10,546
Carrefour,Hipermercado Carrefour,AR-C,-34.612644,-58.423958,10,628
Carrefour,Hipermercado Carrefour,AR-C,-34.612572,-58.377674,10,291
Carrefour,Hipermercado Carrefour,AR-C,-34.612572,-58.486073,10,686
Carrefour,Hipermercado Carrefour,AR-C,-34.612366,-58.412624,10,538
Carrefour,Hipermercado Carrefour,AR-C,-34.612328,-58.445072,10,164
Carrefour,Hipermercado Carrefour,AR-C,-34.612240,-58.386223,10,634
Carrefour,Hipermercado Carrefour,AR-C,-34.612144,-58.480995,10,365
Carrefour,Hipermercado Carrefour,AR-C,-34.611870,-58.370575,10,752
Carrefour,Hipermercado Carrefour,AR-C,-34.611217,-58.373341,10,633
Carrefour,Hipermercado Carrefour,AR-C,-34.611149,-58.433681,10,380
Carrefour,Hipermercado Carrefour,AR-C,-34.611088,-58.460583,10,219
Carrefour,Hipermercado Carrefour,AR-C,-34.611069,-58.506325,10,597
Carrefour,Hipermercado Carrefour,AR-C,-34.610954,-58.419102,10,552
Carrefour,Hipermercado Carrefour,AR-C,-34.610752,-58.414783,10,348
Carrefour,Hipermercado Carrefour,AR-C,-34.610493,-58.412304,10,511
Carrefour,Hipermercado Carrefour,AR-C,-34.610359,-58.516537,10,214
Carrefour,Hipermercado Carrefour,AR-C,-34.610359,-58.391533,10,654
Carrefour,Hipermercado Carrefour,AR-C,-34.610275,-58.426125,10,855
Carrefour,Hipermercado Carrefour,AR-C,-34.610020,-58.402454,10,623
Carrefour,Hipermercado Carrefour,AR-C,-34.609695,-58.438725,10,732
Carrefour,Hipermercado Carrefour,AR-C,-34.609566,-58.443745,10,526
Carrefour,Hipermercado Carrefour,AR-C,-34.609489,-58.398323,10,151
Carrefour,Hipermercado Carrefour,AR-C,-34.609409,-58.486038,10,677
Carrefour,Hipermercado Carrefour,AR-C,-34.609306,-58.379242,10,571
Carrefour,Hipermercado Carrefour,AR-C,-34.609241,-58.384045,10,583
Carrefour,Hipermercado Carrefour,AR-C,-34.608803,-58.448624,10,420
Carrefour,Hipermercado Carrefour,AR-C,-34.608490,-58.421616,10,510
Carrefour,Hipermercado Carrefour,AR-C,-34.608257,-58.380531,10,148
Carrefour,Hipermercado Carrefour,AR-C,-34.608200,-58.441521,10,563
Carrefour,Hipermercado Carrefour,AR-C,-34.607899,-58.418903,10,856
Carrefour,Hipermercado Carrefour,AR-C,-34.607887,-58.391361,10,560
Carrefour,Hipermercado Carrefour,AR-C,-34.606964,-58.443771,10,561
Carrefour,Hipermercado Carrefour,AR-C,-34.606445,-58.497734,10,664
Carrefour,Hipermercado Carrefour,AR-C,-34.606155,-58.376453,10,308
Carrefour,Hipermercado Carrefour,AR-C,-34.605877,-58.425652,10,591
Carrefour,Hipermercado Carrefour,AR-C,-34.605721,-58.392704,10,598
Carrefour,Hipermercado Carrefour,AR-C,-34.605595,-58.421551,10,805
Carrefour,Hipermercado Carrefour,AR-C,-34.605507,-58.389229,10,357
Carrefour,Hipermercado Carrefour,AR-C,-34.605457,-58.431183,10,858
Carrefour,Hipermercado Carrefour,AR-C,-34.605415,-58.523705,10,685
Carrefour,Hipermercado Carrefour,AR-C,-34.605370,-58.370312,10,723
Carrefour,Hipermercado Carrefour,AR-C,-34.605068,-58.419243,10,550
Carrefour,Hipermercado Carrefour,AR-C,-34.604980,-58.406742,10,640
Carrefour,Hipermercado Carrefour,AR-C,-34.604698,-58.437855,10,775
Carrefour,Hipermercado Carrefour,AR-C,-34.604527,-58.394642,10,402
Carrefour,Hipermercado Carrefour,AR-C,-34.604168,-58.371479,10,558
Carrefour,Hipermercado Carrefour,AR-C,-34.604107,-58.459866,10,396
Carrefour,Hipermercado Carrefour,AR-C,-34.604004,-58.429634,10,731
Carrefour,Hipermercado Carrefour,AR-C,-34.603901,-58.383076,10,189
Carrefour,Hipermercado Carrefour,AR-C,-34.603848,-58.433411,10,619
Carrefour,Hipermercado Carrefour,AR-C,-34.603790,-58.413315,10,758
Carrefour,Hipermercado Carrefour,AR-C,-34.603638,-58.379642,10,761
Carrefour,Hipermercado Carrefour,AR-C,-34.603523,-58.471443,10,687
Carrefour,Hipermercado Carrefour,AR-C,-34.603474,-58.389450,10,839
Carrefour,Hipermercado Carrefour,AR-C,-34.603218,-58.378117,10,375
Carrefour,Hipermercado Carrefour,AR-C,-34.603043,-58.391769,10,329
Carrefour,Hipermercado Carrefour,AR-C,-34.602928,-58.423042,10,580
Carrefour,Hipermercado Carrefour,AR-C,-34.602749,-58.395363,10,724
Carrefour,Hipermercado Carrefour,AR-C,-34.602749,-58.417969,10,778
Carrefour,Hipermercado Carrefour,AR-C,-34.602612,-58.496460,10,309
Carrefour,Hipermercado Carrefour,AR-C,-34.602406,-58.432602,10,265
Carrefour,Hipermercado Carrefour,AR-C,-34.602364,-58.456078,10,827
Carrefour,Hipermercado Carrefour,AR-C,-34.602154,-58.420864,10,404
Carrefour,Hipermercado Carrefour,AR-C,-34.602116,-58.398071,10,410
Carrefour,Hipermercado Carrefour,AR-C,-34.602093,-58.489300,10,237
Carrefour,Hipermercado Carrefour,AR-C,-34.601986,-58.371948,10,631
Carrefour,Hipermercado Carrefour,AR-C,-34.601955,-58.467060,10,245
Carrefour,Hipermercado Carrefour,AR-C,-34.601673,-58.388729,10,694
Carrefour,Hipermercado Carrefour,AR-C,-34.601509,-58.437084,10,645
Carrefour,Hipermercado Carrefour,AR-C,-34.601177,-58.378613,10,338
